entry_idx,exit_idx,entry_time,exit_time,dir,entry_price,exit_price,qty,pnl_net,equity_after,exit_reason,holding_bars,rsi_entry,pos_range_entry,vol_ratio_entry,chg_2h_before,ema50_dist,entry_type,timing,coin,week,regime
21,69,2026-01-01 05:15:00,2026-01-01 17:15:00,L,87682.850455,88178.27951284693,0.022812898869278668,10.499792558965146,10010.499792558965,TP,48,45.15816798740257,0.3083003952569242,0.5159258005159915,-0.25028441410693825,-0.17764844640450386,CONTRA,MID,BTC,2025-12-29,FLAT
74,88,2026-01-01 18:30:00,2026-01-01 22:00:00,L,88079.80999000001,88576.62977428857,0.022710085321790554,10.480443126808549,10020.980235685774,TP,14,58.99773918991588,0.5387510454418669,0.39828420102550655,0.2802092411028134,0.2327357225021273,FOLLOW,MID,BTC,2025-12-29,FLAT
93,127,2026-01-01 23:15:00,2026-01-02 07:45:00,L,88550.38056500001,88813.07604,0.022589400375661726,5.1328264349969865,10026.113062120772,SIGNAL_FLIP,34,71.02679562635088,0.9046166643560202,1.809509707269264,0.39132231171079557,0.5775717029819832,FOLLOW,LATE,BTC,2025-12-29,FLAT
133,136,2026-01-02 09:15:00,2026-01-02 10:00:00,S,89197.71833500001,89616.3614424845,0.022418734888371514,-10.187205929306659,10015.925856191465,SL,3,63.10601857169815,0.7830423940149571,1.2760168736808428,0.3071216433540025,0.4739880194743389,CONTRA,EARLY,BTC,2025-12-29,FLAT
144,153,2026-01-02 12:00:00,2026-01-02 14:15:00,L,89471.718745,89007.45134633829,0.022356785228424863,-11.177570615135393,10004.74828557633,SL,9,58.00201243024268,0.5850892857142883,0.4734975501293062,-0.4120024096573416,0.5009815091821886,CONTRA,MID,BTC,2025-12-29,FLAT
161,162,2026-01-02 16:15:00,2026-01-02 16:30:00,S,89725.53915,90812.08500784381,0.02228685409910964,-25.02041214355811,9979.727873432772,SL,1,61.41162462482334,0.9057189634731555,2.1734383423070396,1.286370838509887,0.9015420132440076,CONTRA,EARLY,BTC,2025-12-29,FLAT
217,221,2026-01-03 06:15:00,2026-01-03 07:15:00,S,90023.89439,89435.54759617159,0.022212991490202963,12.271676113063712,9991.999549545835,TP,4,43.905986616431505,0.12186440677965116,0.7562690026865309,-0.29223460807193957,-0.05332470504253999,FOLLOW,LATE,BTC,2025-12-29,FLAT
242,257,2026-01-03 12:30:00,2026-01-03 16:15:00,L,89767.66313,89961.003825,0.022283079789023802,3.5072444879238245,9995.50679403376,SIGNAL_FLIP,15,49.71177659808443,0.6636508781266769,0.402771837106587,-0.030407121280973115,-0.05502802854079049,CONTRA,MID,BTC,2025-12-29,FLAT
262,275,2026-01-03 17:30:00,2026-01-03 20:45:00,S,90010.996325,90322.51158163298,0.022216174485834413,-7.721941431816996,9987.784852601942,SL,13,57.57199039344106,0.7259668508287292,0.3010247641197855,0.12894619831036458,0.17114627581728048,CONTRA,EARLY,BTC,2025-12-29,FLAT
325,364,2026-01-04 09:15:00,2026-01-04 19:00:00,L,91313.695,90834.21005160277,0.02190580503833516,-11.301523097646358,9976.483329504295,SL,39,50.713410018018976,0.24318658280923633,0.7769082322052171,0.011285939691441094,0.23279387138131166,FOLLOW,MID,BTC,2025-12-29,FLAT
369,384,2026-01-04 20:15:00,2026-01-05 00:00:00,L,91233.78301500001,91838.58308014477,0.021924992408471376,12.45746478957459,9988.94079429387,TP,15,54.699589784897235,0.7916471140309721,0.5863685377695718,0.17699037361098569,0.11085025016799446,FOLLOW,LATE,BTC,2025-12-29,FLAT
389,404,2026-01-05 01:15:00,2026-01-05 05:00:00,S,92893.963815,92570.68352,0.02152669471594988,6.160668049390623,9995.101462343262,SIGNAL_FLIP,15,84.74309863503483,0.9886135661226482,1.550079246333373,1.7406374637207511,1.599576329217364,CONTRA,EARLY,BTC,2026-01-05,BULL
409,443,2026-01-05 06:15:00,2026-01-05 14:45:00,L,92410.05943000001,93326.06664930585,0.021645911844859422,19.023725956045443,10014.125188299307,TP,34,45.42597342558011,0.020488641234457077,0.5326691981210602,-0.21009562488303324,0.1329694722544554,CONTRA,MID,BTC,2026-01-05,BULL
514,530,2026-01-06 08:30:00,2026-01-06 12:30:00,L,93306.893935,93812.32604,0.021437858615178648,10.033094930160814,10024.158283229468,SIGNAL_FLIP,16,35.59797966880567,0.14002732240437252,0.8638501289634618,-0.6998132481924046,-0.4339999962630534,CONTRA,EARLY,BTC,2026-01-05,BULL
549,565,2026-01-06 17:15:00,2026-01-06 21:15:00,S,92559.014065,93447.53082071732,0.02160459486523594,-19.999763747154294,10004.158519482313,SL,16,31.50670216768834,0.09255269320843364,0.5413294348046309,-1.708134444242504,-1.0862922421082903,FOLLOW,LATE,BTC,2026-01-05,BULL
578,613,2026-01-07 00:30:00,2026-01-07 09:15:00,S,93304.40224,92063.03224379287,0.021432000548659215,25.81048344828817,10029.9690029306,TP,35,51.13592752813779,0.6340392845385724,1.0243775002263549,0.17355473210847183,0.051544604030578416,CONTRA,MID,BTC,2026-01-05,BULL
637,697,2026-01-07 15:15:00,2026-01-08 06:15:00,S,91605.35713500001,90361.74011098852,0.021829509349033115,26.35309896216597,10056.322101892767,TP,60,32.618829294856866,0.19892260160025765,3.8426048491359928,-1.0259926082537119,-1.0468173942669283,FOLLOW,LATE,BTC,2026-01-05,BULL
705,721,2026-01-08 08:15:00,2026-01-08 12:15:00,S,90575.511635,89866.177905,0.02207771133613205,14.863717424988183,10071.185819317756,SIGNAL_FLIP,16,49.83248940059234,0.6937241159604896,0.6870149909067073,0.49373056386134984,-0.2506781773395303,CONTRA,MID,BTC,2026-01-05,BULL
